frame_number,head_count,bounding_boxes,confidence_scores
1,1,"[[92, 169, 575, 479]]",[0.8772150874137878]
2,1,"[[96, 168, 580, 479]]",[0.8891226649284363]
3,1,"[[95, 168, 584, 479]]",[0.9017125964164734]
4,1,"[[95, 167, 583, 479]]",[0.876087486743927]
5,1,"[[95, 167, 584, 479]]",[0.9001469612121582]
6,1,"[[98, 166, 582, 479]]",[0.8847148418426514]
7,1,"[[97, 168, 579, 479]]",[0.875766396522522]
8,1,"[[62, 165, 589, 479]]",[0.8442449569702148]
9,1,"[[76, 165, 589, 479]]",[0.8524906039237976]
10,1,"[[103, 167, 587, 479]]",[0.8333233594894409]
11,1,"[[77, 167, 586, 479]]",[0.8144964575767517]
12,1,"[[105, 169, 588, 479]]",[0.8526260256767273]
13,1,"[[103, 169, 587, 479]]",[0.8408748507499695]
14,1,"[[89, 168, 584, 479]]",[0.8269943594932556]
15,1,"[[76, 165, 589, 479]]",[0.8348680138587952]
16,1,"[[106, 169, 587, 479]]",[0.8570371270179749]
17,1,"[[106, 168, 606, 479]]",[0.8505584597587585]
18,1,"[[91, 168, 585, 479]]",[0.8366776704788208]
19,1,"[[110, 168, 591, 479]]",[0.8432449698448181]
20,1,"[[111, 167, 593, 479]]",[0.841661274433136]
21,1,"[[94, 169, 585, 479]]",[0.8249407410621643]
22,1,"[[90, 168, 590, 479]]",[0.8292353749275208]
23,1,"[[106, 167, 582, 479]]",[0.8832512497901917]
24,1,"[[102, 169, 580, 479]]",[0.8749346137046814]
25,1,"[[101, 169, 581, 479]]",[0.8932793140411377]
26,1,"[[100, 171, 625, 479]]",[0.9089627265930176]
27,1,"[[100, 171, 588, 479]]",[0.8899187445640564]
28,1,"[[101, 171, 634, 480]]",[0.8920922875404358]
29,2,"[[102, 171, 628, 479], [495, 263, 639, 479]]","[0.8831725716590881, 0.6853570938110352]"
30,1,"[[103, 169, 635, 480]]",[0.8876345157623291]
31,1,"[[101, 173, 635, 479]]",[0.8638365864753723]
32,1,"[[99, 170, 637, 479]]",[0.8934520483016968]
33,2,"[[100, 170, 635, 479], [481, 177, 639, 479]]","[0.9000490307807922, 0.6118245720863342]"
34,2,"[[100, 171, 634, 480], [482, 173, 639, 479]]","[0.9038347601890564, 0.6394650340080261]"
35,2,"[[99, 171, 634, 479], [481, 183, 639, 479]]","[0.9000668525695801, 0.5219376087188721]"
36,2,"[[99, 170, 636, 479], [480, 179, 639, 478]]","[0.9074653387069702, 0.6101765036582947]"
37,2,"[[98, 170, 636, 479], [479, 178, 639, 479]]","[0.9028690457344055, 0.5243194103240967]"
38,2,"[[96, 170, 636, 480], [478, 184, 639, 479]]","[0.9087978601455688, 0.5204938054084778]"
39,1,"[[99, 170, 637, 479]]",[0.9150223135948181]
40,2,"[[94, 171, 636, 479], [476, 187, 639, 478]]","[0.8888595104217529, 0.5597859621047974]"
41,1,"[[97, 171, 636, 479]]",[0.9035738706588745]
42,2,"[[96, 171, 636, 479], [480, 188, 639, 478]]","[0.9123895168304443, 0.5021718144416809]"
43,2,"[[96, 171, 637, 479], [480, 189, 639, 478]]","[0.9032392501831055, 0.5535365343093872]"
44,2,"[[99, 170, 636, 480], [481, 184, 639, 478]]","[0.9001451134681702, 0.5436047315597534]"
45,1,"[[98, 170, 635, 479]]",[0.9123222827911377]
46,2,"[[98, 171, 636, 479], [481, 186, 639, 478]]","[0.9140074849128723, 0.6015141606330872]"
47,2,"[[96, 170, 636, 479], [478, 185, 639, 478]]","[0.9139471054077148, 0.5138586163520813]"
48,2,"[[97, 171, 637, 480], [479, 187, 639, 478]]","[0.9000043272972107, 0.5091903805732727]"
49,2,"[[100, 171, 636, 479], [479, 187, 639, 478]]","[0.9107103943824768, 0.5462748408317566]"
50,1,"[[98, 172, 637, 479]]",[0.9136530756950378]
51,2,"[[100, 173, 638, 479], [495, 204, 639, 479]]","[0.9176748394966125, 0.5908530950546265]"
52,1,"[[95, 173, 637, 479]]",[0.9019094109535217]
53,1,"[[90, 173, 573, 479]]",[0.8479931950569153]
54,1,"[[93, 173, 561, 479]]",[0.8655087947845459]
55,1,"[[95, 173, 571, 479]]",[0.8735508322715759]
56,1,"[[93, 174, 546, 479]]",[0.8433126211166382]
57,1,"[[97, 174, 552, 479]]",[0.8776236176490784]
58,1,"[[94, 174, 549, 479]]",[0.8692438006401062]
59,1,"[[96, 173, 551, 479]]",[0.8516347408294678]
60,1,"[[102, 174, 554, 479]]",[0.858513355255127]
61,1,"[[97, 174, 555, 479]]",[0.8765494227409363]
